127.0.0.1 - - [23/Apr/2021:00:11:48 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:11:49 +0530] "GET /Db-Solutions-Funders/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:12:11 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:13:18 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:16:08 +0530] "POST /Db-Solutions-Funders/funderService/Funders/ HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:17:13 +0530] "POST /Db-Solutions-Funders/funderService/Funders/ HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:18:07 +0530] "POST /Db-Solutions-Funders/funderService/Funders/ HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:22:52 +0530] "POST /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:24:36 +0530] "POST /Db-Solutions-Funders/funderService/Funders/ HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:24:48 +0530] "POST /Db-Solutions-Funders/funderService/Funders/ HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:31:27 +0530] "POST /Db-Solutions-Funders/funderService/Funders/ HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:31:52 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:36:31 +0530] "PUT /Db-Solutions-Funders/funderService/Funders/ HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:36:37 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:39:33 +0530] "DELETE /Db-Solutions-Funders/funderService/Funders/ HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:39:38 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:39:47 +0530] "POST /Db-Solutions-Funders/funderService/Funders/ HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:39:50 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:40:05 +0530] "POST /Db-Solutions-Funders/funderService/Funders/ HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [23/Apr/2021:00:40:08 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [23/Apr/2021:01:08:54 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 780
